city_id,households_2000,households_2010,households_2020,households_2025,households_2030,households_2035,households_2040
1.0,814.0,943.0,1127.0,1161.0,1181.0,1185.0,1188.0
2.0,4236.0,6326.0,6969.0,7214.0,7595.0,8448.0,10342.0
3.0,16526.0,17430.0,19182.0,19754.0,20441.0,21519.0,24513.0
4.0,7977.0,9286.0,10499.0,11086.0,11551.0,12018.0,12338.0
5.0,112.0,108.0,113.0,114.0,115.0,114.0,115.0
6.0,45621.0,49342.0,54595.0,57541.0,60634.0,65294.0,71305.0
7.0,1447.0,1650.0,2248.0,2499.0,3485.0,4763.0,6685.0
8.0,3967.0,5924.0,7421.0,8364.0,8907.0,9597.0,10323.0
9.0,5555.0,6934.0,7799.0,8085.0,8422.0,8889.0,9512.0
10.0,14763.0,15455.0,19809.0,20410.0,20920.0,21549.0,22683.0
11.0,2144.0,2181.0,2437.0,2544.0,2621.0,2767.0,2853.0
12.0,1364.0,1557.0,1678.0,1720.0,1829.0,1936.0,2142.0
13.0,13190.0,13554.0,15156.0,15431.0,15548.0,15657.0,15752.0
14.0,271.0,267.0,271.0,285.0,312.0,368.0,433.0
15.0,604.0,611.0,675.0,687.0,727.0,762.0,811.0
16.0,1013.0,1038.0,1117.0,1114.0,1118.0,1122.0,1124.0
17.0,4381.0,5653.0,6065.0,6170.0,6286.0,6499.0,6728.0
18.0,419.0,545.0,591.0,606.0,627.0,692.0,778.0
19.0,11790.0,11975.0,13324.0,13677.0,14014.0,14392.0,14826.0
20.0,3833.0,3868.0,4597.0,4736.0,4867.0,5051.0,5310.0
21.0,1606.0,1955.0,2084.0,2138.0,2251.0,2389.0,2648.0
22.0,621.0,942.0,976.0,979.0,988.0,995.0,1064.0
23.0,3426.0,3537.0,4169.0,4415.0,4618.0,4784.0,4876.0
24.0,16570.0,16184.0,19436.0,19835.0,20206.0,20568.0,20923.0
25.0,3996.0,4071.0,4546.0,4690.0,4864.0,5111.0,5494.0
26.0,36545.0,41247.0,48367.0,50940.0,54058.0,59012.0,62299.0
27.0,32230.0,33365.0,37089.0,38253.0,39600.0,41108.0,44635.0
28.0,2118.0,3555.0,3758.0,3861.0,3913.0,3955.0,4214.0
29.0,2532.0,2700.0,2900.0,2901.0,2917.0,2927.0,2935.0
30.0,2775.0,3224.0,3537.0,3707.0,3914.0,4195.0,4648.0
31.0,671.0,781.0,871.0,924.0,986.0,1027.0,1115.0
32.0,722.0,1146.0,1315.0,1372.0,1461.0,1613.0,2159.0
33.0,203.0,201.0,250.0,254.0,254.0,254.0,255.0
34.0,74.0,89.0,91.0,91.0,91.0,91.0,94.0
35.0,7787.0,12724.0,13914.0,14361.0,14809.0,15418.0,16288.0
36.0,7051.0,8177.0,10258.0,10980.0,11819.0,13355.0,16254.0
37.0,31879.0,34431.0,40019.0,42029.0,43495.0,44992.0,47788.0
38.0,40496.0,44964.0,48567.0,50338.0,52525.0,55474.0,59556.0
39.0,20168.0,22195.0,25145.0,25593.0,26012.0,26520.0,26640.0
40.0,34891.0,40002.0,45121.0,48123.0,51925.0,56764.0,62170.0
41.0,5050.0,5185.0,5945.0,6043.0,6078.0,6142.0,6207.0
42.0,4086.0,5122.0,5812.0,6265.0,6618.0,7015.0,7570.0
43.0,23739.0,24050.0,26537.0,26947.0,27323.0,27601.0,28092.0
44.0,13146.0,13725.0,15216.0,15579.0,16010.0,16822.0,17725.0
45.0,4975.0,6817.0,7633.0,8009.0,8347.0,8698.0,9109.0
46.0,9936.0,13530.0,15375.0,16438.0,17755.0,19834.0,23994.0
47.0,1108.0,1142.0,1263.0,1264.0,1270.0,1277.0,1280.0
48.0,8442.0,8670.0,9661.0,9694.0,9747.0,9588.0,9746.0
49.0,5373.0,7198.0,7430.0,7557.0,7760.0,8029.0,8632.0
50.0,317.0,384.0,446.0,515.0,599.0,684.0,755.0
51.0,4169.0,4751.0,5474.0,5800.0,6111.0,6390.0,6719.0
52.0,7602.0,8011.0,11923.0,12919.0,13859.0,14593.0,16719.0
53.0,6727.0,7899.0,8357.0,8442.0,8516.0,8614.0,8793.0
54.0,3063.0,3989.0,4485.0,4764.0,5019.0,5238.0,5425.0
55.0,2606.0,2607.0,2858.0,2903.0,2956.0,2999.0,3011.0
56.0,2180.0,2134.0,2369.0,2468.0,2547.0,2729.0,3135.0
57.0,1288.0,2065.0,2212.0,2398.0,2290.0,2404.0,2547.0
58.0,2019.0,2261.0,2647.0,2841.0,2933.0,3027.0,3116.0
59.0,50305.0,56249.0,61233.0,63629.0,66993.0,71549.0,80175.0
60.0,2934.0,3284.0,6092.0,6364.0,6612.0,6967.0,8274.0
61.0,2838.0,3838.0,4582.0,4942.0,5413.0,6115.0,7420.0
62.0,12846.0,14360.0,16826.0,17536.0,18117.0,19006.0,20120.0
63.0,18846.0,22087.0,24608.0,25060.0,25991.0,27646.0,30143.0
64.0,22194.0,27140.0,29990.0,30888.0,31814.0,33241.0,36115.0
65.0,253.0,313.0,334.0,338.0,348.0,358.0,430.0
66.0,320.0,338.0,371.0,408.0,447.0,497.0,567.0
67.0,10923.0,14473.0,16613.0,17668.0,18624.0,19647.0,20967.0
68.0,9270.0,9776.0,10995.0,11356.0,11726.0,12344.0,13954.0
69.0,257912.0,284774.0,318052.0,326430.0,333212.0,338783.0,341101.0
70.0,20668.0,22173.0,26134.0,28351.0,32300.0,38385.0,43057.0
71.0,5959.0,6496.0,8907.0,9636.0,10243.0,10826.0,12383.0
72.0,124.0,125.0,158.0,181.0,224.0,266.0,327.0
73.0,3468.0,3631.0,4234.0,4452.0,4664.0,5040.0,5670.0
74.0,38811.0,43441.0,48024.0,50411.0,53775.0,58815.0,66237.0
75.0,1028.0,3375.0,3433.0,3481.0,3514.0,3591.0,3881.0
76.0,177.0,200.0,228.0,247.0,282.0,352.0,427.0
77.0,1406.0,2266.0,2512.0,2606.0,2710.0,2876.0,3467.0
