city_id	households_2000	households_2010	households_2020	households_2025	households_2030	households_2035	households_2040
1.0	814.0	943.0	1127.0	1161.0	1181.0	1185.0	1188.0
2.0	4346.0	6443.0	7115.0	7370.0	7775.0	8676.0	10652.0
3.0	20746.0	23344.0	27034.0	28576.0	30128.0	31940.0	35805.0
4.0	7977.0	9286.0	10499.0	11086.0	11551.0	12018.0	12338.0
5.0	112.0	108.0	113.0	114.0	115.0	114.0	115.0
6.0	48699.0	52715.0	58437.0	61449.0	64587.0	69288.0	75327.0
7.0	1451.0	1825.0	2463.0	2541.0	3667.0	5102.0	7179.0
8.0	3971.0	5929.0	7426.0	8369.0	8918.0	9608.0	10334.0
9.0	5555.0	6934.0	7799.0	8085.0	8422.0	8889.0	9512.0
10.0	14793.0	15489.0	19846.0	20446.0	20963.0	21597.0	22758.0
11.0	2144.0	2181.0	2437.0	2544.0	2621.0	2767.0	2853.0
12.0	1364.0	1557.0	1678.0	1720.0	1829.0	1936.0	2142.0
13.0	18737.0	19145.0	22025.0	22537.0	22891.0	23233.0	23796.0
14.0	271.0	267.0	271.0	285.0	312.0	368.0	433.0
15.0	604.0	611.0	675.0	687.0	727.0	762.0	811.0
16.0	1013.0	1038.0	1117.0	1114.0	1118.0	1122.0	1124.0
17.0	4382.0	5654.0	6067.0	6172.0	6288.0	6504.0	6733.0
18.0	419.0	545.0	591.0	606.0	627.0	692.0	778.0
19.0	11790.0	11975.0	13324.0	13677.0	14014.0	14392.0	14826.0
20.0	3833.0	3868.0	4597.0	4736.0	4867.0	5051.0	5310.0
21.0	1652.0	2026.0	2203.0	2291.0	2452.0	2642.0	2957.0
22.0	629.0	951.0	990.0	1003.0	1022.0	1049.0	1171.0
23.0	3426.0	3537.0	4169.0	4415.0	4618.0	4784.0	4876.0
24.0	16570.0	16184.0	19436.0	19835.0	20206.0	20568.0	20923.0
25.0	4493.0	4569.0	5197.0	5426.0	5688.0	6043.0	6612.0
26.0	36545.0	41247.0	48367.0	50940.0	54058.0	59012.0	62299.0
27.0	32230.0	33365.0	37089.0	38253.0	39600.0	41108.0	44635.0
28.0	2192.0	3624.0	3830.0	3933.0	3985.0	4027.0	4288.0
29.0	2532.0	2700.0	2900.0	2901.0	2917.0	2927.0	2935.0
30.0	2883.0	3367.0	3793.0	4018.0	4278.0	4645.0	5257.0
31.0	671.0	781.0	871.0	924.0	986.0	1027.0	1115.0
32.0	743.0	1172.0	1344.0	1405.0	1495.0	1660.0	2255.0
33.0	203.0	201.0	250.0	254.0	254.0	254.0	255.0
34.0	74.0	89.0	91.0	91.0	91.0	91.0	94.0
35.0	7787.0	12724.0	13914.0	14361.0	14809.0	15418.0	16288.0
36.0	7051.0	8177.0	10258.0	10980.0	11819.0	13355.0	16254.0
37.0	39619.0	42940.0	50282.0	52856.0	54758.0	56492.0	60266.0
38.0	40496.0	44964.0	48567.0	50338.0	52525.0	55474.0	59556.0
39.0	32394.0	34601.0	39698.0	40643.0	41399.0	42244.0	42826.0
40.0	34886.0	39997.0	45116.0	48118.0	51916.0	56751.0	62150.0
41.0	5051.0	5186.0	5946.0	6044.0	6079.0	6143.0	6208.0
42.0	7360.0	9483.0	10647.0	11488.0	12318.0	13236.0	14357.0
43.0	23739.0	24050.0	26537.0	26947.0	27323.0	27601.0	28092.0
44.0	13265.0	13843.0	15337.0	15714.0	16149.0	17010.0	17945.0
45.0	4975.0	6865.0	7681.0	8057.0	8394.0	8746.0	9157.0
46.0	16864.0	20914.0	23750.0	25235.0	26893.0	29543.0	35453.0
47.0	1108.0	1142.0	1263.0	1264.0	1270.0	1277.0	1280.0
48.0	8442.0	8670.0	9661.0	9694.0	9747.0	9588.0	9746.0
49.0	5384.0	7392.0	7655.0	7792.0	8009.0	8282.0	8886.0
50.0	317.0	384.0	446.0	515.0	599.0	684.0	755.0
51.0	4179.0	4787.0	5525.0	5882.0	6224.0	6541.0	6885.0
52.0	7602.0	8011.0	11923.0	12919.0	13859.0	14593.0	16719.0
53.0	6727.0	7899.0	8357.0	8442.0	8516.0	8614.0	8793.0
54.0	3063.0	3989.0	4485.0	4764.0	5019.0	5238.0	5425.0
55.0	2606.0	2607.0	2858.0	2903.0	2956.0	2999.0	3011.0
56.0	2269.0	2229.0	2488.0	2606.0	2706.0	2904.0	3319.0
57.0	1288.0	2065.0	2212.0	2398.0	2290.0	2404.0	2547.0
58.0	2019.0	2261.0	2647.0	2841.0	2933.0	3027.0	3116.0
59.0	50305.0	56249.0	61233.0	63629.0	66993.0	71549.0	80175.0
60.0	3837.0	4674.0	7860.0	8308.0	8766.0	9396.0	11336.0
61.0	2877.0	3881.0	4643.0	5014.0	5525.0	6259.0	7617.0
62.0	13204.0	14989.0	17878.0	18873.0	19811.0	20937.0	22126.0
63.0	18990.0	22244.0	24925.0	25417.0	26360.0	28016.0	30513.0
64.0	30226.0	36691.0	41274.0	42772.0	44257.0	46456.0	50807.0
65.0	253.0	313.0	334.0	338.0	348.0	358.0	430.0
66.0	320.0	338.0	371.0	408.0	447.0	497.0	567.0
67.0	10987.0	14713.0	16997.0	18123.0	19126.0	20196.0	21588.0
68.0	9328.0	9832.0	11068.0	11434.0	11809.0	12427.0	14037.0
